num,zid,pid,stock
242,7d8c3b0865a1f929794508ca42d8c06d,pop8006362973,NotExists
242,7d8c3b0865a1f929794508ca42d8c06d,pop8008310082,NotExists
243,1f84fc0b5da0d05fe314feaaf330ab8d,pop8003217828,NotExists
244,97068d6ea43a0bcf32b1cb2733e48770,pop8008887370,NotExists
245,d200b63e07e684ce4ed8e126ea75edf4,pop8010474182,NotExists
246,42ff8985a10dcd97de8cfd782fca5483,pop8004653857,NotExists
247,a619712575c58622eee1245bf785e593,pop8010706003,NotExists
247,a619712575c58622eee1245bf785e593,pop8010490522,NotExists
247,a619712575c58622eee1245bf785e593,pop8010490431,NotExists
247,a619712575c58622eee1245bf785e593,pop8009583667,NotExists
247,a619712575c58622eee1245bf785e593,pop8010666705,NotExists
248,52055445c5d21a8083f255e0eca3eb99,pop8005877625,NotExists
248,52055445c5d21a8083f255e0eca3eb99,pop8003445094,NotExists
249,e032cb586f5306e43e61a22fd14d604c,pop8005760037,NotExists
250,20638d8437e1a6a585804e64ae7c2f38,1130048920,NotExists
251,6d0e341383e1f407cef8af38fdba1a63,pop8002261318,NotExists
252,2f0cbe0367df45899dea1e2804456135,pop8008294323,NotExists
